ROLL_NO,REGISTRATION_NUMBER,GENDER,STRATUM,SCHOOL_NAT,SCHOOL_TYPE,DSBDA,CC,AI,WT,EM-3,ACADEMIC_PROGRAM,TOTAL_MARKS
0.0,SB11201210000129,F,Stratum 4,PRIVATE,ACADEMIC,71,81,61,86,82,INDUSTRIAL ENGINEERING,381
1,SB11201210000137,F,Stratum 5,PRIVATE,ACADEMIC,83,75,66,100,88,INDUSTRIAL ENGINEERING,412
2,SB11201210005154,M,Stratum 2,PRIVATE,ACADEMIC,52,49,38,46,42,ELECTRONIC ENGINEERING,227
3,SB11201210007504,F,Stratum 2,PRIVATE,ACADEMIC,56,55,51,64,73,INDUSTRIAL ENGINEERING,299
4,SB11201210007548,M,Stratum 4,PRIVATE,ACADEMIC,80,65,76,85,92,INDUSTRIAL ENGINEERING,
5,SB11201210007568,F,Stratum 6,PRIVATE,ACADEMIC,71,60,57,61,82,INDUSTRIAL ENGINEERING,331
6,SB11201210007598,M,Stratum 5,PRIVATE,ACADEMIC,71,75,61,75,85,INDUSTRIAL ENGINEERING,367
7,SB11201210007615,F,Stratum 6,PRIVATE,ACADEMIC,74,67,61,85,96,INDUSTRIAL ENGINEERING,383
8,SB11201210010208,M,Stratum 2,PRIVATE,TECHNICAL,10,3,16,4,30,INDUSTRIAL ENGINEERING,63
9,SB11201210013577,M,Stratum 2,PRIVATE,ACADEMIC,52,55,51,55,65,INDUSTRIAL ENGINEERING,278
10,SB11201210015404,F,Stratum 3,PRIVATE,ACADEMIC,74,71,61,78,96,INDUSTRIAL ENGINEERING,380
11,SB11201210016082,M,Stratum 2,PRIVATE,ACADEMIC,54,47,49,45,43,CIVIL ENGINEERING,238
12,SB11201210017060,F,Stratum 3,PRIVATE,ACADEMIC,56,62,61,61,50,CIVIL ENGINEERING,290
13,SB11201210019041,M,Stratum 6,PRIVATE,ACADEMIC,76,71,64,75,82,CIVIL ENGINEERING,
14,SB11201210023458,F,Stratum 1,PRIVATE,ACADEMIC,56,45,59,51,44,INDUSTRIAL ENGINEERING,255
15,SB11201210024129,F,Stratum 3,PRIVATE,ACADEMIC,62,58,59,55,59,ELECTRONIC ENGINEERING,293
16,SB11201210024212,M,Stratum 3,PRIVATE,ACADEMIC,74,67,72,78,68,ELECTRONIC ENGINEERING,359
17,SB11201210024226,M,Stratum 3,PRIVATE,ACADEMIC,74,64,61,72,88,ELECTRONIC ENGINEERING,359
18,SB11201210024293,M,Stratum 2,PRIVATE,ACADEMIC,44,49,45,44,44,MECHANICAL ENGINEERING,226
19,SB11201210024453,M,Stratum 3,PRIVATE,ACADEMIC,61,44,53,41,53,ELECTRONIC ENGINEERING,252
20,SB11201210024457,M,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,58,53,51,48,58,CIVIL ENGINEERING,268
21,SB11201210024464,M,Stratum 2,PRIVATE,TECHNICAL/ACADEMIC,60,47,56,56,57,ELECTRONIC ENGINEERING,276
22,SB11201210033482,M,Stratum 4,PRIVATE,ACADEMIC,53,47,36,36,64,INDUSTRIAL ENGINEERING,236
23,SB11201210034473,M,Stratum 2,PRIVATE,TECHNICAL/ACADEMIC,67,65,50,72,82,CIVIL ENGINEERING,336
24,SB11201210034479,M,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,80,71,68,66,75,INDUSTRIAL ENGINEERING,
25,SB11201210034510,M,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,83,75,65,100,71,ELECTRONIC ENGINEERING,394
26,SB11201210034773,M,Stratum 3,PRIVATE,ACADEMIC,69,56,49,63,70,INDUSTRIAL ENGINEERING,307
27,SB11201210034995,M,Stratum 6,PRIVATE,ACADEMIC,85,71,63,72,92,INDUSTRIAL ENGINEERING,383
28,SB11201210035092,F,Stratum 4,PRIVATE,TECHNICAL/ACADEMIC,48,56,43,51,54,ELECTRIC ENGINEERING,252
29,SB11201210035156,F,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,48,44,47,61,48,INDUSTRIAL ENGINEERING,248
30,SB11201210035276,M,Stratum 4,PRIVATE,ACADEMIC,54,52,56,52,53,ELECTRIC ENGINEERING AND TELECOMMUNICATIONS,267
31,SB11201210035394,M,Stratum 3,PRIVATE,ACADEMIC,54,62,56,55,43,INDUSTRIAL ENGINEERING,270
32,SB11201210035645,M,Stratum 4,PRIVATE,ACADEMIC,80,62,76,78,92,MECHANICAL ENGINEERING,388
33,SB11201210035831,M,Stratum 4,PRIVATE,ACADEMIC,80,53,57,70,62,INDUSTRIAL ENGINEERING,322
34,SB11201210035865,M,Stratum 4,PRIVATE,ACADEMIC,58,60,45,58,75,INDUSTRIAL ENGINEERING,
35,SB11201210035904,M,Stratum 5,PRIVATE,ACADEMIC,74,71,66,70,76,INDUSTRIAL ENGINEERING,357
36,SB11201210035990,M,Stratum 5,PRIVATE,ACADEMIC,61,60,61,60,54,INDUSTRIAL ENGINEERING,296
37,SB11201210035993,M,Stratum 3,PRIVATE,ACADEMIC,76,71,74,91,78,MECHANICAL ENGINEERING,390
38,SB11201210036005,F,Stratum 5,PRIVATE,ACADEMIC,62,56,59,61,54,INDUSTRIAL ENGINEERING,292
39,SB11201210036024,M,Stratum 5,PRIVATE,ACADEMIC,72,62,61,78,82,MECHANICAL ENGINEERING,355
40,SB11201210036284,F,Stratum 4,PRIVATE,ACADEMIC,60,60,61,71,62,CIVIL ENGINEERING,314
41,SB11201210036425,F,Stratum 4,PRIVATE,TECHNICAL,50,58,52,52,75,INDUSTRIAL ENGINEERING,287
42,SB11201210036456,F,Stratum 3,PRIVATE,TECHNICAL,44,54,56,55,40,INDUSTRIAL ENGINEERING,249
43,SB11201210036779,M,Stratum 2,PRIVATE,ACADEMIC,69,67,56,68,64,MECHANICAL ENGINEERING,324
44,SB11201210036848,M,Stratum 2,PRIVATE,ACADEMIC,83,62,66,72,82,ELECTRONIC ENGINEERING,365
45,SB11201210036861,M,Stratum 4,PRIVATE,ACADEMIC,80,62,71,81,88,ELECTRONIC ENGINEERING,382
46,SB11201210036877,M,Stratum 4,PRIVATE,ACADEMIC,83,75,68,81,85,INDUSTRIAL ENGINEERING,392
